"Speaker","Rand","Position","Word","Durw","Vowel","Durvowel","stress"
"AC","rand4","prefinal","mose'",0.44,"e",0.19,1
"AC","rand4","prefinal","pupi",0.47,"i",0.14,0
"AC","rand4","prefinal","maro'",0.36,"o",0.16,1
"AC","rand4","prefinal","mimi'",0.37,"i",0.16,1
"AC","rand4","prefinal","bepi",0.47,"i",0.12,0
"AC","rand4","prefinal","pate'",0.44,"e",0.17,1
"AC","rand4","prefinal","para'",0.37,"a",0.17,1
"AC","rand4","prefinal","tana",0.43,"a",0.13,0
"AC","rand4","prefinal","mali",0.36,"i",0.13,0
"AC","rand4","prefinal","sede",0.45,"e",0.18,0
"AC","rand4","prefinal","remi",0.39,"i",0.12,0
"AC","rand4","prefinal","cile",0.5,"e",0.17,0
"AC","rand4","prefinal","kepi'",0.44,"i",0.17,1
"AC","rand4","prefinal","rita",0.38,"a",0.14,0
"AC","rand4","prefinal","toto'",0.41,"o",0.17,1
"AC","rand4","prefinal","case",0.48,"e",0.14,0
"AC","rand4","prefinal","bide'",0.37,"e",0.18,1
"AC","rand4","prefinal","gile'",0.31,"e",0.14,1
"AC","rand4","prefinal","pipi'",0.39,"i",0.14,1
"AC","rand4","prefinal","casa",0.46,"a",0.13,0
"AC","rand4","prefinal","tate",0.48,"e",0.15,0
"AC","rand4","prefinal","baro",0.48,"o",0.14,0
"AC","rand4","prefinal","ramo",0.49,"o",0.14,0
"AC","rand4","prefinal","kali'",0.42,"i",0.2,1
"AC","rand4","prefinal","nana'",0.36,"a",0.18,1
"AC","rand4","prefinal","palo",0.5,"o",0.11,0
"AC","rand4","prefinal","tito",0.45,"o",0.12,0
"AC","rand4","prefinal","como'",0.32,"o",0.12,1
"AC","rand4","prefinal","falo'",0.34,"o",0.13,1
"AC","rand4","prefinal","bara",0.43,"a",0.12,0
"AC","rand4","prefinal","sofa'",0.42,"a",0.17,1
"AC","rand4","prefinal","meta'",0.37,"a",0.16,1
"AL","rand1","prefinal","bide'",0.42,"e",0.21,1
"AL","rand1","prefinal","pipi'",0.42,"i",0.16,1
"AL","rand1","prefinal","tate",0.63,"e",0.21,0
"AL","rand1","prefinal","pate'",0.51,"e",0.23,1
"AL","rand1","prefinal","meta'",0.34,"a",0.19,1
"AL","rand1","prefinal","baro",0.58,"o",0.19,0
"AL","rand1","prefinal","maro'",0.32,"o",0.18,1
"AL","rand1","prefinal","casa",0.54,"a",0.16,0
"AL","rand1","prefinal","cile",0.58,"e",0.18,0
"AL","rand1","prefinal","case",0.59,"e",0.19,0
"AL","rand1","prefinal","tana",0.51,"a",0.18,0
"AL","rand1","prefinal","remi",0.53,"i",0.22,0
"AL","rand1","prefinal","falo'",0.42,"o",0.16,1
"AL","rand1","prefinal","bepi",0.59,"i",0.19,0
"AL","rand1","prefinal","kepi'",0.45,"i",0.17,1
"AL","rand1","prefinal","como'",0.36,"o",0.12,1
"AL","rand1","prefinal","sede",0.53,"e",0.17,0
"AL","rand1","prefinal","bara",0.52,"a",0.14,0
"AL","rand1","prefinal","gile'",0.36,"e",0.16,1
"AL","rand1","prefinal","kali'",0.44,"i",0.21,1
"AL","rand1","prefinal","toto'",0.46,"o",0.2,1
"AL","rand1","prefinal","para'",0.45,"a",0.21,1
"AL","rand1","prefinal","tito",0.59,"o",0.17,0
"AL","rand1","prefinal","sofa'",0.5,"a",0.18,1
"AL","rand1","prefinal","mimi'",0.39,"i",0.18,1
"AL","rand1","prefinal","nana'",0.39,"a",0.19,1
"AL","rand1","prefinal","palo",0.58,"o",0.18,0
"AL","rand1","prefinal","mose'",0.51,"e",0.23,1
"AL","rand1","prefinal","ramo",0.53,"o",0.15,0
"AL","rand1","prefinal","mali",0.53,"i",0.16,0
"AL","rand1","prefinal","rita",0.46,"a",0.18,0
"AL","rand1","prefinal","pupi",0.54,"i",0.16,0
"DN","rand3","prefinal","meta'",0.46,"a",0.23,1
"DN","rand3","prefinal","como'",0.43,"o",0.16,1
"DN","rand3","prefinal","pipi'",0.49,"i",0.24,1
"DN","rand3","prefinal","cile",0.58,"e",0.17,0
"DN","rand3","prefinal","kepi'",0.46,"i",0.16,1
"DN","rand3","prefinal","sofa'",0.48,"a",0.16,1
"DN","rand3","prefinal","case",0.55,"e",0.12,0
"DN","rand3","prefinal","maro'",0.44,"o",0.2,1
"DN","rand3","prefinal","casa",0.54,"a",0.14,0
"DN","rand3","prefinal","sede",0.55,"e",0.14,0
"DN","rand3","prefinal","mimi'",0.4,"i",0.18,1
"DN","rand3","prefinal","tana",0.43,"a",0.11,0
"DN","rand3","prefinal","tito",0.57,"o",0.16,0
"DN","rand3","prefinal","pate'",0.5,"e",0.22,1
"DN","rand3","prefinal","rita",0.49,"a",0.17,0
"DN","rand3","prefinal","bepi",0.6,"i",0.15,0
"DN","rand3","prefinal","pupi",0.58,"i",0.14,0
"DN","rand3","prefinal","falo'",0.43,"o",0.17,1
"DN","rand3","prefinal","nana'",0.41,"a",0.2,1
"DN","rand3","prefinal","mose'",0.5,"e",0.2,1
"DN","rand3","prefinal","toto'",0.44,"o",0.17,1
"DN","rand3","prefinal","bide'",0.5,"e",0.27,1
"DN","rand3","prefinal","bara",0.51,"a",0.16,0
"DN","rand3","prefinal","baro",0.56,"o",0.18,0
"DN","rand3","prefinal","palo",0.58,"o",0.14,0
"DN","rand3","prefinal","remi",0.45,"i",0.13,0
"DN","rand3","prefinal","kali'",0.4,"i",0.15,1
"DN","rand3","prefinal","tate",0.56,"e",0.16,0
"DN","rand3","prefinal","ramo",0.5,"o",0.1,0
"DN","rand3","prefinal","mali",0.54,"i",0.13,0
"DN","rand3","prefinal","gile'",0.46,"e",0.24,1
"DN","rand3","prefinal","para'",0.49,"a",0.22,1
"EB","rand1","prefinal","bide'",0.38,"e",0.19,1
"EB","rand1","prefinal","pipi'",0.39,"i",0.14,1
"EB","rand1","prefinal","tate",0.51,"e",0.09,0
"EB","rand1","prefinal","pate'",0.39,"e",0.13,1
"EB","rand1","prefinal","meta'",0.37,"a",0.16,1
"EB","rand1","prefinal","baro",0.46,"o",0.1,0
"EB","rand1","prefinal","maro'",0.31,"o",0.13,1
"EB","rand1","prefinal","casa",0.41,"a",0.06,0
"EB","rand1","prefinal","cile",0.38,"e",0.04,0
"EB","rand1","prefinal","case",0.43,"e",0.03,0
"EB","rand1","prefinal","tana",0.28,"a",0.04,0
"EB","rand1","prefinal","remi",0.39,"i",0.08,0
"EB","rand1","prefinal","falo'",0.37,"o",0.13,1
"EB","rand1","prefinal","bepi",0.47,"i",0.09,0
"EB","rand1","prefinal","kepi'",0.44,"i",0.2,1
"EB","rand1","prefinal","como'",0.34,"o",0.14,1
"EB","rand1","prefinal","sede",0.41,"e",0.09,0
"EB","rand1","prefinal","bara",0.46,"a",0.11,0
"EB","rand1","prefinal","gile'",0.36,"e",0.17,1
"EB","rand1","prefinal","kali'",0.37,"i",0.14,1
"EB","rand1","prefinal","toto'",0.44,"o",0.2,1
"EB","rand1","prefinal","para'",0.4,"a",0.17,1
"EB","rand1","prefinal","tito",0.48,"o",0.11,0
"EB","rand1","prefinal","sofa'",0.44,"a",0.15,1
"EB","rand1","prefinal","mimi'",0.41,"i",0.16,1
"EB","rand1","prefinal","nana'",0.37,"a",0.16,1
"EB","rand1","prefinal","palo",0.45,"o",0.11,0
"EB","rand1","prefinal","mose'",0.41,"e",0.15,1
"EB","rand1","prefinal","ramo",0.47,"o",0.09,0
"EB","rand1","prefinal","mali",0.45,"i",0.09,0
"EB","rand1","prefinal","rita",0.45,"a",0.13,0
"EB","rand1","prefinal","pupi",0.43,"i",0.08,0
"EM","rand1","prefinal","bide'",0.4,"e",0.19,1
"EM","rand1","prefinal","pipi'",0.41,"i",0.16,1
"EM","rand1","prefinal","tate",0.5,"e",0.13,0
"EM","rand1","prefinal","pate'",0.42,"e",0.16,1
"EM","rand1","prefinal","meta'",0.46,"a",0.2,1
"EM","rand1","prefinal","baro",0.48,"o",0.14,0
"EM","rand1","prefinal","maro'",0.42,"o",0.21,1
"EM","rand1","prefinal","casa",0.53,"a",0.13,0
"EM","rand1","prefinal","cile",0.57,"e",0.16,0
"EM","rand1","prefinal","case",0.54,"e",0.12,0
"EM","rand1","prefinal","tana",0.45,"a",0.12,0
"EM","rand1","prefinal","remi",0.45,"i",0.15,0
"EM","rand1","prefinal","falo'",0.44,"o",0.18,1
"EM","rand1","prefinal","bepi",0.53,"i",0.15,0
"EM","rand1","prefinal","kepi'",0.4,"i",0.14,1
"EM","rand1","prefinal","como'",0.41,"o",0.16,1
"EM","rand1","prefinal","sede",0.46,"e",0.14,0
"EM","rand1","prefinal","bara",0.48,"a",0.13,0
"EM","rand1","prefinal","gile'",0.36,"e",0.17,1
"EM","rand1","prefinal","kali'",0.39,"i",0.15,1
"EM","rand1","prefinal","toto'",0.46,"o",0.2,1
"EM","rand1","prefinal","para'",0.39,"a",0.17,1
"EM","rand1","prefinal","tito",0.47,"o",0.14,0
"EM","rand1","prefinal","sofa'",0.47,"a",0.14,1
"EM","rand1","prefinal","mimi'",0.36,"i",0.13,1
"EM","rand1","prefinal","nana'",0.32,"a",0.11,1
"EM","rand1","prefinal","palo",0.51,"o",0.14,0
"EM","rand1","prefinal","mose'",0.43,"e",0.15,1
"EM","rand1","prefinal","ramo",0.42,"o",0.1,0
"EM","rand1","prefinal","mali",0.45,"i",0.13,0
"EM","rand1","prefinal","rita",0.41,"a",0.14,0
"EM","rand1","prefinal","pupi",0.44,"i",0.12,0
"ER","rand3","prefinal","meta'",0.38,"a",0.16,1
"ER","rand3","prefinal","como'",0.37,"o",0.14,1
"ER","rand3","prefinal","pipi'",0.33,"i",0.11,1
"ER","rand3","prefinal","cile",0.4,"e",0.07,0
"ER","rand3","prefinal","kepi'",0.35,"i",0.11,1
"ER","rand3","prefinal","sofa'",0.42,"a",0.16,1
"ER","rand3","prefinal","case",0.4,"e",0.08,0
"ER","rand3","prefinal","maro'",0.35,"o",0.16,1
"ER","rand3","prefinal","casa",0.4,"a",0.09,0
"ER","rand3","prefinal","sede",0.41,"e",0.1,0
"ER","rand3","prefinal","mimi'",0.33,"i",0.12,1
"ER","rand3","prefinal","tana",0.4,"a",0.11,0
"ER","rand3","prefinal","tito",0.39,"o",0.1,0
"ER","rand3","prefinal","pate'",0.38,"e",0.14,1
"ER","rand3","prefinal","rita",0.33,"a",0.08,0
"ER","rand3","prefinal","bepi",0.43,"i",0.11,0
"ER","rand3","prefinal","pupi",0.39,"i",0.07,0
"ER","rand3","prefinal","falo'",0.33,"o",0.13,1
"ER","rand3","prefinal","nana'",0.29,"a",0.12,1
"ER","rand3","prefinal","mose'",0.38,"e",0.13,1
"ER","rand3","prefinal","toto'",0.32,"o",0.12,1
"ER","rand3","prefinal","bide'",0.34,"e",0.16,1
"ER","rand3","prefinal","bara",0.38,"a",0.11,0
"ER","rand3","prefinal","baro",0.37,"o",0.11,0
"ER","rand3","prefinal","palo",0.41,"o",0.09,0
"ER","rand3","prefinal","remi",0.29,"i",0.06,0
"ER","rand3","prefinal","kali'",0.32,"i",0.11,1
"ER","rand3","prefinal","tate",0.44,"e",0.11,0
"ER","rand3","prefinal","ramo",0.37,"o",0.1,0
"ER","rand3","prefinal","mali",0.39,"i",0.11,0
"ER","rand3","prefinal","gile'",0.26,"e",0.1,1
"ER","rand3","prefinal","para'",0.34,"a",0.15,1
"FB","rand4","prefinal","mose'",0.44,"e",0.16,1
"FB","rand4","prefinal","pupi",0.55,"i",0.14,0
"FB","rand4","prefinal","maro'",0.39,"o",0.19,1
"FB","rand4","prefinal","mimi'",0.39,"i",0.16,1
"FB","rand4","prefinal","bepi",0.53,"i",0.13,0
"FB","rand4","prefinal","pate'",0.48,"e",0.18,1
"FB","rand4","prefinal","para'",0.44,"a",0.19,1
"FB","rand4","prefinal","tana",0.5,"a",0.14,0
"FB","rand4","prefinal","mali",0.48,"i",0.12,0
"FB","rand4","prefinal","sede",0.49,"e",0.13,0
"FB","rand4","prefinal","remi",0.41,"i",0.11,0
"FB","rand4","prefinal","cile",0.57,"e",0.15,0
"FB","rand4","prefinal","kepi'",0.44,"i",0.13,1
"FB","rand4","prefinal","rita",0.43,"a",0.15,0
"FB","rand4","prefinal","toto'",0.48,"o",0.19,1
"FB","rand4","prefinal","case",0.51,"e",0.12,0
"FB","rand4","prefinal","bide'",0.45,"e",0.2,1
"FB","rand4","prefinal","gile'",0.38,"e",0.18,1
"FB","rand4","prefinal","pipi'",0.43,"i",0.16,1
"FB","rand4","prefinal","casa",0.48,"a",0.13,0
"FB","rand4","prefinal","tate",0.53,"e",0.14,0
"FB","rand4","prefinal","baro",0.45,"o",0.13,0
"FB","rand4","prefinal","ramo",0.51,"o",0.12,0
"FB","rand4","prefinal","kali'",0.39,"i",0.14,1
"FB","rand4","prefinal","nana'",0.39,"a",0.17,1
"FB","rand4","prefinal","palo",0.53,"o",0.13,0
"FB","rand4","prefinal","tito",0.51,"o",0.14,0
"FB","rand4","prefinal","como'",0.43,"o",0.18,1
"FB","rand4","prefinal","falo'",0.49,"o",0.18,1
"FB","rand4","prefinal","bara",0.56,"a",0.18,0
"FB","rand4","prefinal","sofa'",0.52,"a",0.17,1
"FB","rand4","prefinal","meta'",0.43,"a",0.17,1
"FC","rand2","prefinal","casa",0.39,"a",0.05,0
"FC","rand2","prefinal","gile'",0.31,"e",0.14,1
"FC","rand2","prefinal","pupi",0.38,"i",0.07,0
"FC","rand2","prefinal","nana'",0.3,"a",0.14,1
"FC","rand2","prefinal","meta'",0.34,"a",0.14,1
"FC","rand2","prefinal","pate'",0.37,"e",0.13,1
"FC","rand2","prefinal","palo",0.41,"o",0.09,0
"FC","rand2","prefinal","tate",0.41,"e",0.1,0
"FC","rand2","prefinal","tana",0.39,"a",0.1,0
"FC","rand2","prefinal","bara",0.4,"a",0.12,0
"FC","rand2","prefinal","baro",0.43,"o",0.13,0
"FC","rand2","prefinal","toto'",0.37,"o",0.14,1
"FC","rand2","prefinal","mimi'",0.36,"i",0.14,1
"FC","rand2","prefinal","rita",0.34,"a",0.1,0
"FC","rand2","prefinal","como'",0.36,"o",0.13,1
"FC","rand2","prefinal","tito",0.43,"o",0.1,0
"FC","rand2","prefinal","kepi'",0.4,"i",0.15,1
"FC","rand2","prefinal","remi",0.34,"i",0.09,0
"FC","rand2","prefinal","falo'",0.46,"o",0.18,1
"FC","rand2","prefinal","cile",0.43,"e",0.09,0
"FC","rand2","prefinal","mose'",0.45,"e",0.16,1
"FC","rand2","prefinal","pipi'",0.38,"i",0.13,1
"FC","rand2","prefinal","case",0.44,"e",0.08,0
"FC","rand2","prefinal","para'",0.34,"a",0.15,1
"FC","rand2","prefinal","bide'",0.36,"e",0.14,1
"FC","rand2","prefinal","kali'",0.37,"i",0.16,1
"FC","rand2","prefinal","sede",0.4,"e",0.09,0
"FC","rand2","prefinal","maro'",0.29,"o",0.12,1
"FC","rand2","prefinal","bepi",0.43,"i",0.11,0
"FC","rand2","prefinal","ramo",0.44,"o",0.09,0
"FC","rand2","prefinal","sofa'",0.46,"a",0.15,1
"FC","rand2","prefinal","mali",0.4,"i",0.11,0
"FF","rand2","prefinal","casa",0.53,"a",0.14,0
"FF","rand2","prefinal","gile'",0.4,"e",0.15,1
"FF","rand2","prefinal","pupi",0.51,"i",0.14,0
"FF","rand2","prefinal","nana'",0.42,"a",0.19,1
"FF","rand2","prefinal","meta'",0.44,"a",0.2,1
"FF","rand2","prefinal","pate'",0.5,"e",0.2,1
"FF","rand2","prefinal","palo",0.54,"o",0.14,0
"FF","rand2","prefinal","tate",0.53,"e",0.16,0
"FF","rand2","prefinal","tana",0.5,"a",0.14,0
"FF","rand2","prefinal","bara",0.53,"a",0.17,0
"FF","rand2","prefinal","baro",0.52,"o",0.17,0
"FF","rand2","prefinal","toto'",0.49,"o",0.24,1
"FF","rand2","prefinal","mimi'",0.46,"i",0.19,1
"FF","rand2","prefinal","rita",0.45,"a",0.17,0
"FF","rand2","prefinal","como'",0.47,"o",0.23,1
"FF","rand2","prefinal","tito",0.47,"o",0.16,0
"FF","rand2","prefinal","kepi'",0.46,"i",0.16,1
"FF","rand2","prefinal","remi",0.41,"i",0.12,0
"FF","rand2","prefinal","falo'",0.48,"o",0.21,1
"FF","rand2","prefinal","cile",0.53,"e",0.15,0
"FF","rand2","prefinal","mose'",0.47,"e",0.17,1
"FF","rand2","prefinal","pipi'",0.41,"i",0.17,1
"FF","rand2","prefinal","case",0.56,"e",0.15,0
"FF","rand2","prefinal","para'",0.47,"a",0.2,1
"FF","rand2","prefinal","bide'",0.42,"e",0.18,1
"FF","rand2","prefinal","kali'",0.44,"i",0.18,1
"FF","rand2","prefinal","sede",0.51,"e",0.16,0
"FF","rand2","prefinal","maro'",0.44,"o",0.2,1
"FF","rand2","prefinal","bepi",0.51,"i",0.14,0
"FF","rand2","prefinal","ramo",0.52,"o",0.15,0
"FF","rand2","prefinal","sofa'",0.53,"a",0.19,1
"FF","rand2","prefinal","mali",0.53,"i",0.17,0
"MM","rand1","prefinal","bide'",0.39,"e",0.18,1
"MM","rand1","prefinal","pipi'",0.35,"i",0.12,1
"MM","rand1","prefinal","tate",0.46,"e",0.11,0
"MM","rand1","prefinal","pate'",0.39,"e",0.14,1
"MM","rand1","prefinal","meta'",0.39,"a",0.17,1
"MM","rand1","prefinal","baro",0.4,"o",0.09,0
"MM","rand1","prefinal","maro'",0.35,"o",0.15,1
"MM","rand1","prefinal","casa",0.45,"a",0.1,0
"MM","rand1","prefinal","cile",0.43,"e",0.08,0
"MM","rand1","prefinal","case",0.46,"e",0.1,0
"MM","rand1","prefinal","tana",0.38,"a",0.1,0
"MM","rand1","prefinal","remi",0.39,"i",0.1,0
"MM","rand1","prefinal","falo'",0.43,"o",0.16,1
"MM","rand1","prefinal","bepi",0.43,"i",0.08,0
"MM","rand1","prefinal","kepi'",0.42,"i",0.18,1
"MM","rand1","prefinal","como'",0.36,"o",0.15,1
"MM","rand1","prefinal","sede",0.48,"e",0.14,0
"MM","rand1","prefinal","bara",0.45,"a",0.11,0
"MM","rand1","prefinal","gile'",0.34,"e",0.15,1
"MM","rand1","prefinal","kali'",0.41,"i",0.19,1
"MM","rand1","prefinal","toto'",0.4,"o",0.17,1
"MM","rand1","prefinal","para'",0.4,"a",0.19,1
"MM","rand1","prefinal","tito",0.43,"o",0.1,0
"MM","rand1","prefinal","sofa'",0.43,"a",0.17,1
"MM","rand1","prefinal","mimi'",0.35,"i",0.14,1
"MM","rand1","prefinal","nana'",0.35,"a",0.16,1
"MM","rand1","prefinal","palo",0.42,"o",0.09,0
"MM","rand1","prefinal","mose'",0.43,"e",0.17,1
"MM","rand1","prefinal","ramo",0.42,"o",0.08,0
"MM","rand1","prefinal","mali",0.43,"i",0.1,0
"MM","rand1","prefinal","rita",0.37,"a",0.11,0
"MM","rand1","prefinal","pupi",0.39,"i",0.07,0
"NL","rand2","prefinal","casa",0.48,"a",0.08,0
"NL","rand2","prefinal","gile'",0.34,"e",0.15,1
"NL","rand2","prefinal","pupi",0.49,"i",0.1,0
"NL","rand2","prefinal","nana'",0.38,"a",0.15,1
"NL","rand2","prefinal","meta'",0.35,"a",0.15,1
"NL","rand2","prefinal","pate'",0.42,"e",0.15,1
"NL","rand2","prefinal","palo",0.47,"o",0.08,0
"NL","rand2","prefinal","tate",0.47,"e",0.09,0
"NL","rand2","prefinal","tana",0.43,"a",0.09,0
