Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
FC,rand2,List,mali,0.40,i,0.11,baro,0.38,o,0.08
FF,rand2,List,casa,0.53,a,0.14,mali,0.40,i,0.07
FF,rand2,List,gile',0.40,e',0.15,toto',0.37,o',0.12
FF,rand2,List,pupi,0.51,i,0.14,mimi',0.37,i',0.11
FF,rand2,List,nana',0.42,a',0.19,bepi,0.49,i,0.13
FF,rand2,List,meta',0.44,a',0.20,case,0.47,e,0.11
FF,rand2,List,pate',0.50,e',0.20,kali',0.35,i',0.10
FF,rand2,List,palo,0.54,o,0.14,tate,0.40,e,0.08
FF,rand2,List,tate,0.53,e,0.16,para',0.39,a',0.14
FF,rand2,List,tana,0.50,a,0.14,falo',0.37,o',0.12
FF,rand2,List,bara,0.53,a,0.17,cile,0.51,e,0.11
FF,rand2,List,baro,0.52,o,0.17,tana,0.44,a,0.11
FF,rand2,List,toto',0.49,o',0.24,bide',0.39,e',0.15
FF,rand2,List,mimi',0.46,i',0.19,meta',0.32,a',0.11
FF,rand2,List,rita,0.45,a,0.17,ramo,0.46,o,0.09
FF,rand2,List,como',0.47,o',0.23,pupi,0.50,i,0.14
FF,rand2,List,tito,0.47,o,0.16,remi,0.38,i,0.10
FF,rand2,List,kepi',0.46,i',0.16,maro',0.37,o',0.13
FF,rand2,List,remi,0.41,i,0.12,nana',0.34,a',0.13
FF,rand2,List,falo',0.48,o',0.21,tito,0.46,o,0.11
FF,rand2,List,cile,0.53,e,0.15,pipi',0.38,i',0.15
FF,rand2,List,mose',0.47,e',0.17,casa,0.46,a,0.12
FF,rand2,List,pipi',0.41,i',0.17,gile',0.36,e',0.13
FF,rand2,List,case,0.56,e,0.15,sede,0.43,e,0.09
FF,rand2,List,para',0.47,a',0.20,pate',0.41,e',0.15
FF,rand2,List,bide',0.42,e',0.18,mose',0.45,e',0.16
FF,rand2,List,kali',0.44,i',0.18,kepi',0.41,i',0.15
FF,rand2,List,sede,0.51,e,0.16,sofa',0.46,a',0.14
FF,rand2,List,maro',0.44,o',0.20,rita,0.39,a,0.13
FF,rand2,List,bepi,0.51,i,0.14,palo,0.41,o,0.08
FF,rand2,List,ramo,0.52,o,0.15,como',0.37,o',0.12
FF,rand2,List,sofa',0.53,a',0.19,bara,0.43,a,0.10
FF,rand2,List,mali,0.53,i,0.17,baro,0.42,o,0.10
MM,rand1,List,bide',0.39,e',0.18,mose',0.38,e',0.10
MM,rand1,List,pipi',0.35,i',0.12,gile',0.31,e',0.11
MM,rand1,List,tate,0.46,e,0.11,para',0.32,a',0.11
MM,rand1,List,pate',0.39,e',0.14,kali',0.27,i',0.08
MM,rand1,List,meta',0.39,a',0.17,case,0.42,e,0.09
MM,rand1,List,baro,0.40,o,0.09,tana,0.33,a,0.09
MM,rand1,List,maro',0.35,o',0.15,rita,0.33,a,0.08
MM,rand1,List,casa,0.45,a,0.10,mali,0.40,i,0.09
MM,rand1,List,cile,0.43,e,0.08,pipi',0.30,i',0.08
MM,rand1,List,case,0.46,e,0.10,sede,0.40,e,0.11
MM,rand1,List,tana,0.38,a,0.10,falo',0.33,o',0.11
MM,rand1,List,remi,0.39,i,0.10,nana',0.30,a',0.11
MM,rand1,List,falo',0.43,o',0.16,tito,0.38,o,0.10
MM,rand1,List,bepi,0.43,i,0.08,palo,0.39,o,0.07
MM,rand1,List,kepi',0.42,i',0.18,maro',0.28,o',0.10
MM,rand1,List,como',0.36,o',0.15,pupi,0.40,i,0.07
MM,rand1,List,sede,0.48,e,0.14,sofa',0.35,a',0.10
MM,rand1,List,bara,0.45,a,0.11,cile,0.42,e,0.10
MM,rand1,List,gile',0.34,e',0.15,toto',0.33,o',0.11
MM,rand1,List,kali',0.41,i',0.19,kepi',0.34,i',0.10
MM,rand1,List,toto',0.40,o',0.17,bide',0.31,e',0.12
MM,rand1,List,para',0.40,a',0.19,pate',0.36,e',0.12
MM,rand1,List,tito,0.43,o,0.10,remi,0.36,i,0.10
MM,rand1,List,sofa',0.43,a',0.17,bara,0.39,a,0.10
MM,rand1,List,mimi',0.35,i',0.14,meta',0.31,a',0.12
MM,rand1,List,nana',0.35,a',0.16,bepi,0.41,i,0.07
MM,rand1,List,palo,0.42,o,0.09,tate,0.39,e,0.09
MM,rand1,List,mose',0.43,e',0.17,casa,0.40,a,0.08
MM,rand1,List,ramo,0.42,o,0.08,como',0.30,o',0.10
MM,rand1,List,mali,0.43,i,0.10,baro,0.41,o,0.10
MM,rand1,List,rita,0.37,a,0.11,ramo,0.36,o,0.08
MM,rand1,List,pupi,0.39,i,0.07,mimi',0.32,i',0.10
NL,rand2,List,casa,0.48,a,0.08,mali,0.44,i,0.09
NL,rand2,List,gile',0.34,e',0.15,toto',0.31,o',0.09
NL,rand2,List,pupi,0.49,i,0.10,mimi',0.33,i',0.10
NL,rand2,List,nana',0.38,a',0.15,bepi,0.48,i,0.09
NL,rand2,List,meta',0.35,a',0.15,case,0.47,e,0.09
NL,rand2,List,pate',0.42,e',0.15,kali',0.33,i',0.11
NL,rand2,List,palo,0.47,o,0.08,tate,0.44,e,0.10
NL,rand2,List,tate,0.47,e,0.09,para',0.38,a',0.14
NL,rand2,List,tana,0.43,a,0.09,falo',0.39,o',0.06
NL,rand2,List,bara,0.46,a,0.11,cile,0.50,e,0.10
NL,rand2,List,baro,0.46,o,0.11,tana,0.39,a,0.09
NL,rand2,List,toto',0.39,o',0.15,bide',0.32,e',0.10
NL,rand2,List,mimi',0.37,i',0.13,meta',0.29,a',0.09
NL,rand2,List,rita,0.40,a,0.12,ramo,0.44,o,0.06
NL,rand2,List,como',0.37,o',0.15,pupi,0.43,i,0.08
NL,rand2,List,tito,0.53,o,0.12,remi,0.37,i,0.08
NL,rand2,List,kepi',0.46,i',0.15,maro',0.32,o',0.10
NL,rand2,List,remi,0.45,i,0.11,nana',0.32,a',0.12
NL,rand2,List,falo',0.39,o',0.15,tito,0.48,o,0.11
NL,rand2,List,cile,0.56,e,0.13,pipi',0.38,i',0.12
NL,rand2,List,mose',0.42,e',0.15,casa,0.45,a,0.09
NL,rand2,List,pipi',0.42,i',0.14,gile',0.31,e',0.11
NL,rand2,List,case,0.48,e,0.10,sede,0.39,e,0.11
NL,rand2,List,para',0.43,a',0.19,pate',0.40,e',0.12
NL,rand2,List,bide',0.39,e',0.17,mose',0.40,e',0.12
NL,rand2,List,kali',0.43,i',0.18,kepi',0.37,i',0.11
NL,rand2,List,sede,0.47,e,0.11,sofa',0.41,a',0.11
NL,rand2,List,maro',0.37,o',0.17,rita,0.34,a,0.09
NL,rand2,List,bepi,0.49,i,0.11,palo,0.49,o,0.09
NL,rand2,List,ramo,0.48,o,0.10,como',0.32,o',0.09
NL,rand2,List,sofa',0.51,a',0.17,bara,0.47,a,0.11
NL,rand2,List,mali,0.49,i,0.10,baro,0.45,o,0.11
PG,rand3,List,meta',0.35,a',0.14,case,0.41,e,0.09
PG,rand3,List,como',0.35,o',0.13,pupi,0.41,i,0.11
PG,rand3,List,pipi',0.38,i',0.16,gile',0.33,e',0.13
PG,rand3,List,cile,0.39,e,0.10,pipi',0.32,i',0.10
PG,rand3,List,kepi',0.37,i',0.14,maro',0.31,o',0.11
PG,rand3,List,sofa',0.41,a',0.15,bara,0.39,a,0.10
PG,rand3,List,case,0.47,e,0.11,sede,0.35,e,0.07
PG,rand3,List,maro',0.35,o',0.17,rita,0.34,a,0.11
PG,rand3,List,casa,0.49,a,0.12,mali,0.38,i,0.08
PG,rand3,List,sede,0.37,e,0.11,sofa',0.35,a',0.10
PG,rand3,List,mimi',0.35,i',0.15,meta',0.33,a',0.12
PG,rand3,List,tana,0.40,a,0.11,falo',0.31,o',0.09
PG,rand3,List,tito,0.45,o,0.10,remi,0.34,i,0.10
PG,rand3,List,pate',0.35,e',0.13,kali',0.30,i',0.10
PG,rand3,List,rita,0.38,a,0.12,ramo,0.39,o,0.07
PG,rand3,List,bepi,0.42,i,0.09,palo,0.39,o,0.07
PG,rand3,List,pupi,0.42,i,0.11,mimi',0.32,i',0.11
PG,rand3,List,falo',0.35,o',0.12,tito,0.41,o,0.10
PG,rand3,List,nana',0.36,a',0.19,bepi,0.39,i,0.08
PG,rand3,List,mose',0.37,e',0.13,casa,0.38,a,0.07
PG,rand3,List,toto',0.34,o',0.14,bide',0.30,e',0.09
PG,rand3,List,bide',0.36,e',0.16,mose',0.34,e',0.11
PG,rand3,List,bara,0.42,a,0.10,cile,0.38,e,0.09
PG,rand3,List,baro,0.44,o,0.10,tana,0.38,a,0.10
PG,rand3,List,palo,0.44,o,0.09,tate,0.38,e,0.07
PG,rand3,List,remi,0.39,i,0.10,nana',0.28,a',0.12
PG,rand3,List,kali',0.36,i',0.15,kepi',0.35,i',0.10
PG,rand3,List,tate,0.48,e,0.12,para',0.32,a',0.10
PG,rand3,List,ramo,0.36,o,0.09,como',0.30,o',0.08
PG,rand3,List,mali,0.43,i,0.11,baro,0.39,o,0.08
PG,rand3,List,gile',0.34,e',0.16,toto',0.33,o',0.10
PG,rand3,List,para',0.37,a',0.17,pate',0.37,e',0.14
RR,rand4,List,mose',0.44,e',0.16,casa,0.46,a,0.08
RR,rand4,List,pupi,0.52,i,0.13,mimi',0.36,i',0.16
RR,rand4,List,maro',0.39,o',0.19,rita,0.39,a,0.13
RR,rand4,List,mimi',0.33,i',0.11,meta',0.36,a',0.15
RR,rand4,List,bepi,0.46,i,0.13,palo,0.47,o,0.16
RR,rand4,List,pate',0.43,e',0.16,kali',0.37,i',0.14
RR,rand4,List,para',0.40,a',0.18,pate',0.42,e',0.16
RR,rand4,List,tana,0.47,a,0.14,falo',0.40,o',0.15
RR,rand4,List,mali,0.44,i,0.14,baro,0.42,o,0.16
RR,rand4,List,sede,0.45,e,0.14,sofa',0.42,a',0.13
RR,rand4,List,remi,0.38,i,0.09,nana',0.32,a',0.15
RR,rand4,List,cile,0.44,e,0.11,pipi',0.35,i',0.11
RR,rand4,List,kepi',0.38,i',0.12,maro',0.32,o',0.11
RR,rand4,List,rita,0.43,a,0.14,ramo,0.42,o,0.13
RR,rand4,List,toto',0.43,o',0.17,bide',0.38,e',0.15
RR,rand4,List,case,0.50,e,0.11,sede,0.47,e,0.16
RR,rand4,List,bide',0.41,e',0.19,mose',0.41,e',0.11
RR,rand4,List,gile',0.35,e',0.17,toto',0.37,o',0.16
RR,rand4,List,pipi',0.40,i',0.14,gile',0.38,e',0.18
RR,rand4,List,casa,0.49,a,0.12,mali',0.37,i',0.10
RR,rand4,List,tate,0.48,e,0.11,para',0.37,a',0.16
RR,rand4,List,baro,0.46,o,0.15,tana,0.38,a,0.11
RR,rand4,List,ramo,0.41,o,0.10,como',0.35,o',0.13
RR,rand4,List,kali',0.37,i',0.15,kepi',0.36,i',0.09
RR,rand4,List,nana',0.37,a',0.18,bepi,0.44,i,0.09
RR,rand4,List,palo,0.50,o,0.14,tate,0.44,e,0.11
RR,rand4,List,tito,0.43,o,0.13,remi,0.35,i,0.10
RR,rand4,List,como',0.35,o',0.13,pupi,0.49,i,0.13
RR,rand4,List,falo',0.40,o',0.17,tito,0.44,o,0.13
RR,rand4,List,bara,0.41,a,0.12,cile,0.40,e,0.11
RR,rand4,List,sofa',0.43,a',0.15,bara,0.39,a,0.12
RR,rand4,List,meta',0.42,a',0.19,case,0.50,e,0.13
SS,rand3,List,meta',0.39,a',0.16,case,0.46,e,0.12
SS,rand3,List,como',0.43,o',0.17,pupi,0.43,i,0.12
SS,rand3,List,pipi',0.45,i',0.22,gile',0.25,e',0.09
SS,rand3,List,cile,0.44,e,0.13,pipi',0.35,i',0.11
SS,rand3,List,kepi',0.45,i',0.20,maro',0.33,o',0.11
SS,rand3,List,sofa',0.49,a',0.18,bara,0.43,a,0.12
SS,rand3,List,case,0.50,e,0.14,sede,0.41,e,0.12
SS,rand3,List,maro',0.41,o',0.20,rita,0.35,a,0.12
SS,rand3,List,casa,0.53,a,0.16,mali,0.44,i,0.14
SS,rand3,List,sede,0.50,e,0.17,sofa',0.38,a',0.13
SS,rand3,List,mimi',0.39,i',0.15,meta',0.34,a',0.12
SS,rand3,List,tana,0.49,a,0.14,falo',0.31,o',0.09
SS,rand3,List,tito,0.49,o,0.17,remi,0.36,i,0.11
SS,rand3,List,pate',0.42,e',0.16,kali',0.32,i',0.11
SS,rand3,List,rita,0.45,a,0.18,ramo,0.42,o,0.10
SS,rand3,List,bepi,0.46,i,0.13,palo,0.43,o,0.10
SS,rand3,List,pupi,0.51,i,0.17,mimi',0.31,i',0.09
SS,rand3,List,falo',0.45,o',0.21,tito,0.41,o,0.13
SS,rand3,List,nana',0.36,a',0.16,bepi,0.46,i,0.11
SS,rand3,List,mose',0.46,e',0.18,casa,0.45,a,0.10
SS,rand3,List,toto',0.45,o',0.20,bide',0.33,e',0.13
SS,rand3,List,bide',0.37,e',0.16,mose',0.37,e',0.12
SS,rand3,List,bara,0.46,a,0.13,cile,0.46,e,0.13
SS,rand3,List,baro,0.46,o,0.14,tana,0.41,a,0.12
SS,rand3,List,palo,0.49,o,0.15,tate,0.43,e,0.13
SS,rand3,List,remi,0.44,i,0.15,nana',0.26,a',0.08
SS,rand3,List,kali',0.41,i',0.19,kepi',0.36,i',0.12
SS,rand3,List,tate,0.49,e,0.13,para',0.34,a',0.12
SS,rand3,List,ramo,0.42,o,0.09,como',0.32,o',0.11
SS,rand3,List,mali,0.47,i,0.13,baro,0.43,o,0.13
SS,rand3,List,gile',0.36,e',0.16,toto',0.32,o',0.08
SS,rand3,List,para',0.44,a',0.21,pate',0.36,e',0.11
VF,rand4,List,mose',0.46,e',0.15,casa,0.45,a,0.08
VF,rand4,List,pupi,0.46,i,0.10,mimi',0.33,i',0.10
VF,rand4,List,maro',0.36,o',0.14,rita,0.32,a,0.10
VF,rand4,List,mimi',0.40,i',0.14,meta',0.31,a',0.10
VF,rand4,List,bepi,0.43,i,0.07,palo,0.43,o,0.09
VF,rand4,List,pate',0.44,e',0.14,kali',0.34,i',0.10
VF,rand4,List,para',0.40,a',0.15,pate',0.35,e',0.10
VF,rand4,List,tana,0.43,a,0.12,falo',0.35,o',0.10
VF,rand4,List,mali,0.44,i,0.08,baro,0.42,o,0.10
VF,rand4,List,sede,0.45,e,0.10,sofa',0.39,a',0.10
VF,rand4,List,remi,0.30,i,0.02,nana',0.31,a',0.12
VF,rand4,List,cile,0.49,e,0.11,pipi',0.35,i',0.10
VF,rand4,List,kepi',0.51,i',0.21,maro',0.38,o',0.16
VF,rand4,List,rita,0.41,a,0.12,ramo,0.43,o,0.07
VF,rand4,List,toto',0.40,o',0.16,bide',0.33,e',0.13
VF,rand4,List,case,0.51,e,0.09,sede,0.39,e,0.08
VF,rand4,List,bide',0.45,e',0.22,mose',0.40,e',0.10
VF,rand4,List,gile',0.38,e',0.16,toto',0.34,o',0.10
VF,rand4,List,pipi',0.38,i',0.12,gile',0.27,e',0.10
VF,rand4,List,casa,0.50,a,0.10,mali,0.44,i,0.11
VF,rand4,List,tate,0.48,e,0.12,para',0.34,a',0.12
VF,rand4,List,baro,0.44,o,0.09,tana,0.37,a,0.10
VF,rand4,List,ramo,0.45,o,0.09,como',0.33,o',0.10
VF,rand4,List,kali',0.37,i',0.14,kepi',0.36,i',0.11
VF,rand4,List,nana',0.36,a',0.15,bepi,0.41,i,0.08
VF,rand4,List,palo,0.44,o,0.06,tate,0.40,e,0.08
VF,rand4,List,tito,0.45,o,0.12,remi,0.38,i,0.11
VF,rand4,List,como',0.42,o',0.16,pupi,0.45,i,0.11
VF,rand4,List,falo',0.41,o',0.15,tito,0.40,o,0.12
VF,rand4,List,bara,0.51,a,0.14,cile,0.40,e,0.10
VF,rand4,List,sofa',0.58,a',0.26,bara,0.41,a,0.11
VF,rand4,List,meta',0.39,a',0.17,case,0.40,e,0.09
VM,rand2,List,casa,0.50,a,0.09,mali,0.49,i,0.14
VM,rand2,List,gile',0.32,e',0.14,toto',0.32,o',0.10
VM,rand2,List,pupi,0.50,i,0.11,mimi',0.37,i',0.12
VM,rand2,List,nana',0.41,a',0.17,bepi,0.56,i,0.12
VM,rand2,List,meta',0.42,a',0.16,case,0.46,e,0.10
VM,rand2,List,pate',0.41,e',0.14,kali',0.32,i',0.10
VM,rand2,List,palo,0.47,o,0.10,tate,0.53,e,0.13
VM,rand2,List,tate,0.48,e,0.10,para',0.29,a',0.07
VM,rand2,List,tana,0.46,a,0.13,falo',0.34,o',0.12
VM,rand2,List,bara,0.48,a,0.12,cile,0.48,e,0.13
VM,rand2,List,baro,0.55,o,0.18,tana,0.42,a,0.10
VM,rand2,List,toto',0.41,o',0.14,bide',0.35,e',0.14
VM,rand2,List,mimi',0.34,i',0.09,meta',0.33,a',0.12
VM,rand2,List,rita,0.48,a,0.15,ramo,0.51,o,0.12
VM,rand2,List,como',0.39,o',0.15,pupi,0.51,i,0.13
VM,rand2,List,tito,0.50,o,0.12,remi,0.43,i,0.13
VM,rand2,List,kepi',0.42,i',0.13,maro',0.30,o',0.11
VM,rand2,List,remi,0.39,i,0.11,nana',0.35,a',0.12
VM,rand2,List,falo',0.39,o',0.16,tito,0.42,o,0.10
VM,rand2,List,cile,0.39,e,0.05,pipi',0.37,i',0.09
VM,rand2,List,mose',0.39,e',0.12,casa,0.48,a,0.10
VM,rand2,List,pipi',0.39,i',0.11,gile',0.30,e',0.14
VM,rand2,List,case,0.54,e,0.10,sede,0.47,e,0.15
VM,rand2,List,para',0.38,a',0.16,pate',0.40,e',0.12
VM,rand2,List,bide',0.40,e',0.17,mose',0.36,e',0.12
VM,rand2,List,kali',0.40,i',0.14,kepi',0.35,i',0.09
VM,rand2,List,sede,0.38,e,0.06,sofa',0.39,a',0.14
VM,rand2,List,maro',0.39,o',0.17,rita,0.48,a,0.17
VM,rand2,List,bepi,0.54,i,0.12,palo,0.53,o,0.11
VM,rand2,List,ramo,0.45,o,0.10,como',0.35,o',0.11
VM,rand2,List,sofa',0.47,a',0.15,bara,0.52,a,0.14
VM,rand2,List,mali,0.49,i,0.11,baro,0.51,o,0.14
